"size","name"
29138922,"9500"
30761868,"10000"
2730393,"1000"
32261886,"10500"
33859182,"11000"
35463141,"11500"
37118763,"12000"
38774876,"12500"
40449051,"13000"
42058527,"13500"
43782501,"14000"
45548760,"14500"
47201931,"15000"
4169294,"1500"
48830016,"15500"
50320260,"16000"
52146399,"16500"
53883729,"17000"
55566930,"17500"
57215503,"18000"
58921981,"18500"
60699501,"19000"
62155870,"19500"
438,"1"
64155961,"20000"
5675523,"2000"
65686291,"20500"
67194369,"21000"
68810062,"21500"
70442003,"22000"
71972599,"22500"
73853914,"23000"
75628158,"23500"
77509572,"24000"
79202759,"24500"
80900571,"25000"
7027348,"2500"
82535413,"25500"
84075044,"26000"
85742021,"26500"
87306316,"27000"
89157217,"27500"
90939515,"28000"
92625195,"28500"
94345874,"29000"
96063380,"29500"
97735207,"30000"
8558026,"3000"
99541585,"30500"
101351500,"31000"
103028444,"31500"
104696496,"32000"
106292105,"32500"
108023501,"33000"
109503807,"33500"
111159319,"34000"
112672147,"34500"
114353250,"35000"
10273734,"3500"
116172536,"35500"
117682566,"36000"
119181842,"36500"
120981357,"37000"
122608226,"37500"
124124992,"38000"
126042070,"38500"
127841715,"39000"
129337658,"39500"
130989156,"40000"
11678238,"4000"
132584192,"40500"
134347978,"41000"
136101698,"41500"
137805934,"42000"
139488798,"42500"
141176002,"43000"
142697838,"43500"
144219026,"44000"
145932128,"44500"
147613423,"45000"
13144860,"4500"
149269959,"45500"
150731197,"46000"
152368468,"46500"
154011297,"47000"
155822388,"47500"
157462365,"48000"
159032127,"48500"
160860312,"49000"
162446153,"49500"
163998297,"50000"
14568369,"5000"
1403288,"500"
165690002,"50500"
167231829,"51000"
169009731,"51500"
170684492,"52000"
172259486,"52500"
174077715,"53000"
175652257,"53500"
177235489,"54000"
178730947,"54500"
180205968,"55000"
16164942,"5500"
181768986,"55500"
183261886,"56000"
184835503,"56500"
186484454,"57000"
188182826,"57500"
189844679,"58000"
191396692,"58500"
192840668,"59000"
194546750,"59500"
196407760,"60000"
17866794,"6000"
198080445,"60500"
199822729,"61000"
201483350,"61500"
203339969,"62000"
205110310,"62500"
206715014,"63000"
208314436,"63500"
209815288,"64000"
211484356,"64500"
213025896,"65000"
19408001,"6500"
214624865,"65500"
216251467,"66000"
217856575,"66500"
219511822,"67000"
221478091,"67500"
223051893,"68000"
224681695,"68500"
226223747,"69000"
227942038,"69500"
229592869,"70000"
20994527,"7000"
231419508,"70500"
233070110,"71000"
234885281,"71500"
22414649,"7500"
23996004,"8000"
25714949,"8500"
27483309,"9000"
29138922,"9500"
